Customer: Alfreds Futterkiste,	Postalcode: 12209,	Phone: 030-0074321
Customer: Ana Trujillo Emparedados y helados,	Postalcode: 05021,	Phone: (5) 555-4729
Customer: Antonio Moreno Taquería,	Postalcode: 05023,	Phone: (5) 555-3932
Customer: Around the Horn,	Postalcode: WA1 1DP,	Phone: (171) 555-7788
Customer: Berglunds snabbköp,	Postalcode: S-958 22,	Phone: 0921-12 34 65
Customer: Blauer See Delikatessen,	Postalcode: 68306,	Phone: 0621-08460
Customer: Blondel père et fils,	Postalcode: 67000,	Phone: 88.60.15.31
Customer: Bólido Comidas preparadas,	Postalcode: 28023,	Phone: (91) 555 22 82
Customer: Bon app',	Postalcode: 13008,	Phone: 91.24.45.40
Customer: Bottom-Dollar Markets,	Postalcode: T2F 8M4,	Phone: (604) 555-4729
Customer: B's Beverages,	Postalcode: EC2 5NT,	Phone: (171) 555-1212
Customer: Cactus Comidas para llevar,	Postalcode: 1010,	Phone: (1) 135-5555
Customer: Centro comercial Moctezuma,	Postalcode: 05022,	Phone: (5) 555-3392
Customer: Chop-suey Chinese,	Postalcode: 3012,	Phone: 0452-076545
Customer: Comércio Mineiro,	Postalcode: 05432-043,	Phone: (11) 555-7647
Customer: Consolidated Holdings,	Postalcode: WX1 6LT,	Phone: (171) 555-2282
Customer: Drachenblut Delikatessen,	Postalcode: 52066,	Phone: 0241-039123
Customer: Du monde entier,	Postalcode: 44000,	Phone: 40.67.88.88
Customer: Eastern Connection,	Postalcode: WX3 6FW,	Phone: (171) 555-0297
Customer: Ernst Handel,	Postalcode: 8010,	Phone: 7675-3425
Customer: Familia Arquibaldo,	Postalcode: 05442-030,	Phone: (11) 555-9857
Customer: FISSA Fabrica Inter. Salchichas S.A.,	Postalcode: 28034,	Phone: (91) 555 94 44
Customer: Folies gourmandes,	Postalcode: 59000,	Phone: 20.16.10.16
Customer: Folk och fä HB,	Postalcode: S-844 67,	Phone: 0695-34 67 21
Customer: Frankenversand,	Postalcode: 80805,	Phone: 089-0877310
Customer: France restauration,	Postalcode: 44000,	Phone: 40.32.21.21
Customer: Franchi S.p.A.,	Postalcode: 10100,	Phone: 011-4988260
Customer: Furia Bacalhau e Frutos do Mar,	Postalcode: 1675,	Phone: (1) 354-2534
Customer: Galería del gastrónomo,	Postalcode: 08022,	Phone: (93) 203 4560
Customer: Godos Cocina Típica,	Postalcode: 41101,	Phone: (95) 555 82 82
Customer: Gourmet Lanchonetes,	Postalcode: 04876-786,	Phone: (11) 555-9482
Customer: Great Lakes Food Market,	Postalcode: 97403,	Phone: (503) 555-7555
Customer: GROSELLA-Restaurante,	Postalcode: 1081,	Phone: (2) 283-2951
Customer: Hanari Carnes,	Postalcode: 05454-876,	Phone: (21) 555-0091
Customer: HILARIÓN-Abastos,	Postalcode: 5022,	Phone: (5) 555-1340
